           100n;  4;               ;"C2, C5, C10, C12"
            10k; 13;               ;"R1, R2, R3, R4, R5, R6, R7, R8, R10, R17, R18, R29, R30"
            10u;  3;               ;"L1, L2, L3"
             1k;  3;               ;"R9, R19, R21"
         1N5819;  2;               ;"D1, D2"
            1R5; 12;               ;"R11, R12, R13, R14, R15, R16, R23, R24, R25, R26, R27, R28"
           220u;  4;               ;"C1, C3, C11, C13"
            22k;  1;               ;"R31"
            2n2;  5;               ;"C4, C6, C7, C8, C9"
            30k;  1;               ;"R20"
            470;  1;               ;"R22"
        BATTERY;  1;               ;"BT1"
          bc847;  2;               ;"Q1, Q5"
          bc857;  1;               ;"Q6"
        CONN_20;  1;               ;"P11"
         CONN_4;  3;               ;"P12, P13, P14"
       irll2703;  1;               ;"Q4"
           L293;  1;               ;"U1"
        NCP3063;  2;               ;"U2, U3"
         si2301;  4;               ;"Q2, Q3, Q7, Q8"
            TST; 10;               ;"P1, P2, P3, P4, P5, P6, P7, P8, P9, P10"
